time_of_trip,lat,lon
9/5/2014 0:16,40.65438,-73.94626
9/5/2014 0:16,40.70669,-74.00924
9/5/2014 0:16,40.73816,-73.99875
9/5/2014 0:16,40.72531,-74.00127
9/5/2014 0:16,40.7446,-73.98508
9/5/2014 0:16,40.74889,-73.98564
9/5/2014 0:17,40.72017,-74.00519
9/5/2014 0:17,40.71661,-73.98844
9/5/2014 0:17,40.71421,-73.94813
9/5/2014 0:17,40.74345,-73.82813
9/5/2014 0:17,40.71005,-74.01491
9/5/2014 0:17,40.74202,-73.99465
9/5/2014 0:17,40.72056,-73.94381
9/5/2014 0:17,40.71983,-73.98315
9/5/2014 0:18,40.72269,-73.98819
9/5/2014 0:18,40.77088,-73.97971
9/5/2014 0:18,40.75499,-73.99994
9/5/2014 0:18,40.73013,-73.98948
9/5/2014 0:18,40.76961,-73.95775
9/5/2014 0:18,40.72906,-74.00933
9/5/2014 0:18,40.73433,-74.00467
9/5/2014 0:18,40.68975,-73.95534
9/5/2014 0:18,40.73134,-73.97538
9/5/2014 0:18,40.73378,-74.00178
9/5/2014 0:19,40.7584,-73.99416
9/5/2014 0:19,40.73827,-73.97846
9/5/2014 0:19,40.72689,-74.00323
9/5/2014 0:19,40.77208,-73.95594
9/5/2014 0:19,40.75427,-73.96909
9/5/2014 0:19,40.71858,-74.00046
9/5/2014 0:19,40.75103,-73.97507
9/5/2014 0:19,40.76613,-73.98711
9/5/2014 0:19,40.74512,-73.99808
9/5/2014 0:20,40.76539,-73.9548
9/5/2014 0:20,40.73656,-73.9872
9/5/2014 0:20,40.77168,-73.98484
9/5/2014 0:20,40.7215,-73.99505
9/5/2014 0:20,40.74441,-74.00652
9/5/2014 0:20,40.74139,-73.99265
9/5/2014 0:20,40.68863,-73.98517
9/5/2014 0:20,40.72186,-74.00269
9/5/2014 0:20,40.745,-73.98282
9/5/2014 0:20,40.80899,-73.94453
9/5/2014 0:21,40.69269,-73.85579
9/5/2014 0:21,40.73133,-73.98861
9/5/2014 0:21,40.68353,-73.96713
9/5/2014 0:22,40.74157,-73.93609
9/5/2014 0:22,40.6906,-73.99601
9/5/2014 0:22,40.77254,-73.88605
9/5/2014 0:22,40.73423,-73.99251
9/5/2014 0:22,40.81131,-73.94212
9/5/2014 0:22,40.74432,-73.99941
9/5/2014 0:22,40.75546,-73.97586
9/5/2014 0:23,40.88035,-73.90377
9/5/2014 0:23,40.75246,-73.96821
9/5/2014 0:23,40.72816,-73.97913
9/5/2014 0:23,40.68527,-73.94332
9/5/2014 0:23,40.74439,-73.99633
