time_of_trip,start_lat,start_lng,hour,hour_grouping
9/5/2014 0:10,40.75003,-74.00258,0,12:00 AM - 2:59 AM
9/5/2014 0:10,40.75125,-73.98535,0,12:00 AM - 2:59 AM
9/5/2014 0:10,40.74387,-73.99511,0,12:00 AM - 2:59 AM
9/5/2014 0:11,40.75569,-73.96852,0,12:00 AM - 2:59 AM
9/5/2014 0:11,40.68467,-73.97314,0,12:00 AM - 2:59 AM
9/5/2014 0:11,40.70224,-73.9812,0,12:00 AM - 2:59 AM
9/5/2014 0:11,40.74981,-73.93899,0,12:00 AM - 2:59 AM
9/5/2014 0:11,40.74884,-73.98427,0,12:00 AM - 2:59 AM
9/5/2014 0:11,40.80489,-73.95044,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.72613,-73.97997,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.72353,-73.99611,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.72828,-73.98311,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.63571,-73.91897,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.67406,-73.97899,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.72101,-73.99399,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.74734,-73.97217,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.86608,-73.86913,0,12:00 AM - 2:59 AM
9/5/2014 0:12,40.75274,-73.97327,0,12:00 AM - 2:59 AM
9/5/2014 0:13,40.73658,-73.99316,0,12:00 AM - 2:59 AM
9/5/2014 0:13,40.71754,-74.01365,0,12:00 AM - 2:59 AM
9/5/2014 0:13,40.71621,-73.94179,0,12:00 AM - 2:59 AM
9/5/2014 0:13,40.71654,-73.9885,0,12:00 AM - 2:59 AM
9/5/2014 0:13,40.71907,-73.98993,0,12:00 AM - 2:59 AM
9/5/2014 0:13,40.74906,-74.00305,0,12:00 AM - 2:59 AM
9/5/2014 0:14,40.76986,-73.9173,0,12:00 AM - 2:59 AM
9/5/2014 0:14,40.75825,-73.9662,0,12:00 AM - 2:59 AM
9/5/2014 0:14,40.83265,-73.8286,0,12:00 AM - 2:59 AM
9/5/2014 0:14,40.74458,-73.99679,0,12:00 AM - 2:59 AM
9/5/2014 0:14,40.7508,-74.00207,0,12:00 AM - 2:59 AM
