time_of_trip,lat,lon
9/1/2014 0:17,40.76461,-73.99192
9/1/2014 0:17,40.73357,-73.98191
9/1/2014 0:18,40.75385,-73.84532
9/1/2014 0:18,40.69231,-73.98892
9/1/2014 0:18,40.72136,-73.95748
9/1/2014 0:18,40.72961,-73.981
9/1/2014 0:18,40.6734,-73.98278
9/1/2014 0:18,40.68333,-73.96084
9/1/2014 0:19,40.71408,-73.99767
9/1/2014 0:19,40.77775,-73.955
9/1/2014 0:19,40.71419,-74.00274
9/1/2014 0:19,40.83647,-73.91433
9/1/2014 0:20,40.74179,-73.99494
9/1/2014 0:20,40.73646,-73.98118
9/1/2014 0:20,40.73602,-73.98729
9/1/2014 0:20,40.71159,-73.99506
9/1/2014 0:20,40.7214,-74.00449
9/1/2014 0:20,40.72753,-73.99076
9/1/2014 0:20,40.66065,-73.91098
9/1/2014 0:20,40.70609,-73.99686
9/1/2014 0:21,40.64752,-73.97839
9/1/2014 0:21,40.72828,-73.97887
9/1/2014 0:21,40.63221,-74.00455
9/1/2014 0:21,40.84035,-73.94301
9/1/2014 0:21,40.76307,-73.95945
9/1/2014 0:21,40.72847,-73.98783
9/1/2014 0:22,40.80992,-73.94387
9/1/2014 0:22,40.73226,-73.95463
9/1/2014 0:22,40.75326,-73.98104
9/1/2014 0:22,40.73443,-73.87357
9/1/2014 0:22,40.71028,-74.00654
9/1/2014 0:22,40.57518,-73.98527
9/1/2014 0:22,40.65661,-74.00905
9/1/2014 0:22,40.72198,-73.99007
9/1/2014 0:23,40.77339,-73.86769
9/1/2014 0:23,40.72256,-73.99315
9/1/2014 0:23,40.80392,-73.93634
9/1/2014 0:23,40.65897,-73.80369
9/1/2014 0:23,40.74465,-73.99127
9/1/2014 0:23,40.79488,-73.97213
9/1/2014 0:23,40.59919,-73.97467
9/1/2014 0:24,40.76311,-73.98418
9/1/2014 0:24,40.71431,-73.99257
9/1/2014 0:24,40.78389,-73.94834
9/1/2014 0:24,40.7166,-74.00512
9/1/2014 0:24,40.68928,-73.79276
9/1/2014 0:24,40.72377,-73.88183
9/1/2014 0:24,40.67446,-74.00204
9/1/2014 0:24,40.74846,-73.97614
9/1/2014 0:24,40.76054,-73.98578
9/1/2014 0:24,40.77641,-73.97583
9/1/2014 0:24,40.74846,-73.98623
9/1/2014 0:24,40.71371,-73.99813
9/1/2014 0:25,40.74864,-73.99333
9/1/2014 0:25,40.76897,-73.95515
9/1/2014 0:25,40.74451,-73.98674
9/1/2014 0:25,40.70369,-73.92576
9/1/2014 0:25,40.69882,-73.93838
9/1/2014 0:25,40.66885,-73.86609
9/1/2014 0:25,40.74499,-73.98558
9/1/2014 0:25,40.77427,-73.87275
9/1/2014 0:25,40.75082,-73.99089
9/1/2014 0:25,40.75963,-73.9296
9/1/2014 0:25,40.72864,-73.98455
9/1/2014 0:26,40.72784,-73.99108
9/1/2014 0:26,40.84245,-73.9259
9/1/2014 0:26,40.77074,-73.94889
9/1/2014 0:26,40.76626,-73.99164
9/1/2014 0:26,40.75537,-73.97343
9/1/2014 0:26,40.68749,-73.97203
9/1/2014 0:26,40.75948,-73.97018
9/1/2014 0:27,40.79223,-73.96604
9/1/2014 0:27,40.71147,-73.80537
9/1/2014 0:28,40.72778,-73.99132
9/1/2014 0:28,40.76712,-73.95959
9/1/2014 0:28,40.76846,-73.8881
9/1/2014 0:28,40.70309,-73.99418
9/1/2014 0:28,40.77034,-73.94986
9/1/2014 0:28,40.70626,-73.91606
9/1/2014 0:28,40.62259,-74.02838
9/1/2014 0:28,40.62788,-73.93306
9/1/2014 0:28,40.73357,-73.99399
9/1/2014 0:28,40.71393,-73.94935
9/1/2014 0:29,40.80807,-73.96469
9/1/2014 0:29,40.71977,-74.00516
9/1/2014 0:29,40.79958,-73.95362
9/1/2014 0:29,40.64107,-74.01419
9/1/2014 0:29,40.81039,-73.95254
9/1/2014 0:29,40.71253,-73.96468
9/1/2014 0:30,40.67921,-73.96718
9/1/2014 0:30,40.74014,-73.9957
9/1/2014 0:30,40.70469,-73.93461
9/1/2014 0:30,40.72918,-73.9872
9/1/2014 0:30,40.81235,-73.96202
9/1/2014 0:30,40.73629,-74.00186
9/1/2014 0:30,40.74594,-73.98784
9/1/2014 0:30,40.57637,-74.00314
9/1/2014 0:31,40.69072,-73.95676
9/1/2014 0:31,40.76191,-73.99294
9/1/2014 0:31,40.73233,-73.8539
9/1/2014 0:31,40.64252,-73.96153
9/1/2014 0:31,40.5994,-73.95124
9/1/2014 0:32,40.81403,-73.92344
9/1/2014 0:32,40.72885,-73.9591
9/1/2014 0:32,40.80796,-73.96412
9/1/2014 0:32,40.76441,-73.97943
9/1/2014 0:32,40.70745,-74.01194
9/1/2014 0:32,40.75594,-74.00443
9/1/2014 0:32,40.73618,-73.87716
9/1/2014 0:33,40.79356,-73.95147
9/1/2014 0:33,40.70845,-73.93919
9/1/2014 0:33,40.75697,-73.99737
9/1/2014 0:33,40.69861,-73.92108
9/1/2014 0:33,40.71619,-74.01523
9/1/2014 0:33,40.76294,-73.95825
9/1/2014 0:34,40.7381,-73.99208
9/1/2014 0:34,40.71831,-73.98699
9/1/2014 0:34,40.68804,-73.78347
9/1/2014 0:34,40.78863,-73.96931
9/1/2014 0:34,40.76372,-73.98694
9/1/2014 0:34,40.74063,-74.0044
9/1/2014 0:34,40.76855,-73.96372
9/1/2014 0:34,40.7053,-74.0072
9/1/2014 0:34,40.77384,-73.97833
9/1/2014 0:34,40.74288,-73.97421
9/1/2014 0:35,40.75257,-74.00034
9/1/2014 0:35,40.66197,-73.98694
9/1/2014 0:35,40.72109,-73.94195
9/1/2014 0:36,40.66878,-73.95865
9/1/2014 0:36,40.74908,-73.99189
9/1/2014 0:36,40.80302,-73.93848
9/1/2014 0:36,40.71253,-73.96776
9/1/2014 0:36,40.72491,-73.99913
